Date,ISOWeek,DOI,Version,Category,Title,Authors
2026-04-27,18,10.64898/2026.04.21.719852,2,bioengineering,DNA-Based Nanoprobes for Fluorescence K+ Sensing in Neural Systems,"Dunn, B.; Farag, S.; Azizi, M.; McAuliffe, L.; Cressman, J. R.; Veneziano, R.; Chitnis, P. V."
2026-04-27,18,10.64898/2026.03.06.708946,2,biophysics,A Modular Framework for Automated Segmentation and Analysis of AFM Imaging of Chromatin Organization,"Sorensen, E. W.; Pangeni, S.; Merino-Urteaga, R.; Murray, P. J.; Rudnizky, S.; Liao, T.-W.; Rashid, F.; Hwang, J.; Yamadi, M.; Feng, X. A.; Zähringer, J.; Gu, S.; Davidson, I. F.; Caccianini, L.; Osorio-Valeriano, M.; Farnung, L.; Vos, S.; Peters, J.-M.; Berger, J. M.; Wu, C.; Hatzakis, N. S.; Kirkegaard, J. B.; Ha, T."
2026-04-27,18,10.1101/2025.11.03.686160,2,genomics,Multi-ancestry Transcriptome-Wide Association Study Reveals Shared and Population-Specific Genetic Effects in Alzheimer's Disease,"Sun, X.; Mews, M.; Wheeler, N. R.; Benchek, P.; Gu, T.; Gomez, L.; Ray, N.; Reitz, C.; Naj, A. C.; Below, J. E.; Tosto, G.; Cornejo-Olivas, M.; Byrd, G. S.; Feliciano-Astacio, B. E.; Celis, K.; Rajabli, F.; Kunkle, B. W.; Pericak-Vance, M. A.; Haines, J. L.; Griswold, A. J.; Bush, W. S."
2026-04-27,18,10.1101/2025.01.21.634178,4,biochemistry,Investigation of Disease-Relevant Lysine Acetylation Sites in α-Synuclein Enabled by Non-canonical Amino Acid Mutagenesis,"Shimogawa, M.; Li, M.-H.; Park, G. S. H.; Ramirez, J.; Lee, H.; Watson, P.; Sharma, S.; Lin, Z.; Peng, C.; Lee, V. M.- Y.; Garcia, B.; Christianson, D. W.; Eliezer, D.; Rhoades, E.; Petersson, E. J."
2026-04-27,18,10.64898/2026.04.21.719937,2,bioengineering,A High-Throughput Platform for Rapid Adaptation of DNA Aptamers to SARS-CoV-2 Evolution,"He, Y.; Yang, Z.; Kuo, Y.-A.; Wu, Y.; Fonseca-Albert, D.; Le, K. K.; Guo, J. G.; Wang, Y.; Nguyen, A.-T.; Chen, Y.-I.; Kim, S.; Chen, W.-R.; Seifi, S.; Hong, S.; Nguyen, T. D.; Chen, Y.; Ren, P.; Lu, Y.; Yeh, H.-C."
2026-04-27,18,10.1101/2025.07.01.662355,2,bioinformatics,Combining AI structure prediction and integrative modelling for nanobody-antigen complexes,"Sanchez-Marin, M.; Giulini, M.; Bonvin, A."
2026-04-27,18,10.64898/2026.04.22.720181,2,biophysics,Mechanical organization yields degenerate dissipation beyond linear response,"Sun, Z. G.; Zheng, J.; Tabatabai, A. P.; Vlassak, J.; Murrell, M."
2026-04-27,18,10.64898/2026.04.21.719958,2,biophysics,Prebiotic Selection as a Physical Process: An Information Quasi-Potential Framework for Chemical Convergence,"Truong, Q. H. X.; Truong, X. K."
2026-04-27,18,10.1101/2024.05.23.595630,3,genomics,Designing DNA With Tunable Regulatory Activity Using Discrete Diffusion,"Sarkar, A.; Duran, A.; Yu, Y.; Lin, D.-W.; Kang, Y.; Somia, N.; Mantilla, P.; Zhou, J. L.; Nagai, M.; Tang, Z.; Hanington, K.; Chang, K.; Koo, P."
2026-04-27,18,10.1101/2025.11.27.690895,4,bioinformatics,A Robust and Integrated Framework for Cross-platform Adaptation of Epigenetic Clocks in Cell-free DNA Sequencing,"Li, G.; Huang, W.; Zhao, X.; Wu, J.; Guo, Y.; Chen, L.; Cao, X.; Yang, Z.; Jiang, S.; Hu, B.; Wang, Y.; Tan, D.; Tong, V.; Tang, C.; Feng, X.; Hu, X.; Ouyang, C.; Zhou, G."
