Date,ISOWeek,DOI,Version,Category,Title,Authors
2026-04-13,16,10.1101/2024.01.15.575649,3,biophysics,Plasma membrane order maps functional diversity in immune cells,"Andronico, L. A.; Gurdap, C. O.; Arora, A.; Ragaller, F.; Sandoz, P. A.; Jiang, Y.; Giatrellis, S.; de Boer, L.; Carannante, V.; Iskrak, S.; Mikes, J.; Buggert, M.; Osterborg, A.; Onfelt, B.; Klymchenko, A. S.; Brodin, P.; Sezgin, E."
2026-04-13,16,10.64898/2026.01.14.699490,4,bioengineering,Spatial control of genome editing activity enables localized immunotherapy,"Yang, X.; Tong, L.; Pan, Y.; Huang, J.; Yi, Z.; He, D.; Liu, J.; Wang, C.; Liang, Y.; Tong, S."
2026-04-13,16,10.64898/2026.03.06.709245,2,biophysics,Comparative study of two xanthan gum glycosyltransferases combining AI structure predictions and molecular modeling,"Luciano, D.; Sneve, S.; Courtade, G."
2026-04-13,16,10.64898/2026.04.07.716877,2,microbiology,A novel Flavobacterium quisquiliarum porphyrin binding protein independently disrupts Pseudomonas aeruginosa biofilms,"Lelenaite, I.; Fletcher, C. S.; Houppy, W.; Morley, C.; Brown, A.; Black, G. W.; Malekpour, A. K.; Brown, N. L.; Singh, W.; Munoz, J.; Yau, H. C. L.; Lant, N.; Willats, W."
2026-04-13,16,10.64898/2026.04.10.717836,2,biophysics,Structural features of E. coli Stx bacteriophage phi24B revealed with cryo-electron microscopy,"Bubenchikov, M. A.; Kuznetsov, A. S.; Butenko, I. O.; Matyushkina, D. S.; Sokolova, O. S.; Letarov, A. V.; Moiseenko, A. V."
2026-04-13,16,10.64898/2026.04.09.717377,2,microbiology,PBP1A and LdtJ support cell envelope homeostasis and impact selection of Colistin-resistance in Acinetobacter baumannii,"Furlan, B.; Nandy, S.; Gong, H.; Whalen, M.; Mattei, N.; Olea-Ozuna, R. J.; Vollmer, D.; Vollmer, W.; Boll, J. M.; Massidda, O."
2026-04-13,16,10.64898/2026.04.08.717138,1,bioinformatics,TB-Bench: A Systematic Benchmark of Machine Learning and Deep Learning Methods for Second-Line TB Drug Resistance Prediction,"VP, B.; Jaiswal, S.; Meshram, A.; PVS, D.; S C, S.; Narayanan, M."
2026-04-13,16,10.64898/2026.04.09.717444,1,bioinformatics,IMAS enables target-aware integration of tumour multiomics to resolve communication-guided regulatory mechanisms,"Deyang, W.; Yamashiro, T.; Inubushi, T."
2026-04-13,16,10.64898/2026.04.09.717450,1,bioinformatics,"BrainPET Studio: An Atlas-Based, User-Friendly Desktop Tool for Quantitative PET Neuroimaging Analysis","Nabizadeh, F."
2026-04-13,16,10.64898/2026.04.09.717448,1,biophysics,Individuality and information content of infrared molecular profiles: insights from a large longitudinal health-profiling study,"Zarandy, Z. I.; Nemeth, F. B.; Eissa, T.; Lakatos, C.; Nagy, D.; Debreceni, D.; Fleischmann, F.; Kovacs, Z.; Gero, D.; Zigman, M.; Krausz, F.; Kepesidis, K. V."
