Date,ISOWeek,DOI,Version,Category,Title,Authors
2026-04-20,17,10.1101/2024.04.02.587783,2,genomics,How and why ampliconic genes survive on the human Y chromosome,"Pal, K.; Greshnova, A.; Park, S.; Ko, B. J.; Palova, H.; Steinegger, M.; Kosakovsky Pond, S. L.; Canzar, S.; Makova, K. D."
2026-04-20,17,10.1101/2024.11.05.620812,2,biochemistry,Intraflagellar transport protein IFT172 contains a C-terminal ubiquitin-binding U-box-like domain involved in ciliary signaling,"Zacharia, N. K.; Kuhns, S.; Boegholm, N.; Christensen, A.; Wang, J.; Petriman, N. A.; Lorentzen, A.; Fialova, J. L.; Menguy, L.; Saunier, S.; Christensen, S. T.; Andersen, J. S.; Bhogaraju, S.; lorentzen, e."
2026-04-20,17,10.1101/2025.08.28.672844,2,genomics,Collateral mutagenesis funnels multiple sources of DNA damage into a ubiquitous mutational signature,"Spisak, N.; de Manuel, M.; Przeworski, M."
2026-04-20,17,10.1101/2025.09.18.672001,3,biochemistry,"Pontocerebellar Hypoplasia linked mutations of the deadenylase Target of EGR1 (TOE1) impair thermal stability, ribonuclease activity, and oligomerization.","Zavala, L.; Sobien, M.; Hayne, C. K."
2026-04-20,17,10.64898/2025.12.01.691549,2,bioinformatics,SNooPy: a statistical framework for long-read metagenomic variant calling,"Faure, R.; Faure, U.; Truong, T. M. K.; Derzelle, A.; Lavenier, D.; Flot, J.-F.; Quince, C."
2026-04-20,17,10.64898/2026.02.27.708323,2,bioinformatics,Evaluation of deep learning tools for chromatin contact prediction,"Nguyen, T. H. T.; Vermeirssen, V."
2026-04-20,17,10.64898/2026.04.15.718429,2,bioengineering,Bacteria-mimetic bioadhesives with multivalent mucoadhesion and drug-compatible delivery,"Johnston, E.; Farrow, M.; Yang, Z.; Bahmani, A.; Liu, Y.; Huang, X.; Yan, J.; Li, J."
2026-04-20,17,10.64898/2026.04.15.718654,2,bioinformatics,LagCI Enables Inference of Temporal Causal Relationships from Dense Multi-Omic Time Series,"Ge, Y.; Bai, S.; Qiang, Z.; Liu, Y.; Wu, Y.; Shen, X."
2026-04-20,17,10.64898/2026.04.15.718104,1,bioinformatics,Natively entangled proteins are linked to human disease and pathogenic mutations likely due to a greater misfolding propensity,"Anglero Mendez, M. F.; Sitarik, I.; Vu, Q. V.; Totoo, P.; Stephenson, J. D.; Song, H.; O'Brien, E. P."
2026-04-20,17,10.64898/2026.04.15.718725,1,bioinformatics,Genome-wide identification and characterization of the NAC transcription factor family in Cynodon dactylon and their expression during abiotic stresses,"Poudel, A.; Wu, Y."
2026-04-20,17,10.64898/2026.04.17.719328,1,synthetic biology,Elucidating the Bell-Shaped Dependence of Protein Translation Activity on EF-Tu Concentration in a Reconstituted Cell-Free System Using a Mechanistic Model,"Ban, S.; Himeoka, Y.; Kagawa, A.; Shimizu, Y.; Matsuura, T.; Furusawa, C."
2026-04-20,17,10.64898/2026.04.15.718841,1,microbiology,Integrated Resistome and Quantitative Proteomics Reveal Coordinated Resistance Architecture in MDR and XDR Gram-Negative ICU Pathogens,"Lima, A. A.; Silva, D.; Sherman, N. E.; Nogueira, L.; Clementino, M. A.; Havt, A.; Quirino Filho, J.; Sousa, F.; Lima, I. F. N.; Costa, D. D. S.; Ribeiro, S.; Mesquita, F.; Sousa, J.; Lino, L.; Alves, A.; Damasceno, A.; Carneiro, L.; Gondim, R.; Fragoso, L. V.; Rodrigues, J. L.; Miyajima, F.; Carvalho, B.; Maia, M. S.; Arruda, E. A. G. d."
2026-04-20,17,10.64898/2026.04.14.718527,1,bioengineering,HYPER-Net: Physics-Conditioned Self-Supervised Reconstruction for Fourier Light-Field Microscopy,"Ling, Z.; Hua, X.; Liu, W.; Wu, H.; Chen, P.; Peng, L.; Hou, J.; Forghani, P.; Pierce, C.; Kim, G.-A.; Takayama, S.; Nie, S.; Xu, C.; Lu, H.; Jia, S."
2026-04-20,17,10.64898/2026.04.18.719346,1,microbiology,Genetic diversity and antimicrobial susceptibility pattern of Shiga toxin-producing Escherichia coli and Campylobacter spp. isolated from healthy goats in southern Thailand,"Wiriyaprom, R.; Ngasaman, R.; Kaewnoi, D.; Prachantasena, S."
2026-04-20,17,10.64898/2026.04.17.719132,1,microbiology,A global metagenomic atlas uncovers ubiquitous biosynthetic potential linked to adaptation in extreme environments,"Du, R.; He, R.; Qi, Q.; Li, Z.; Tang, Q.; Zhang, Z.; Xu, X.; Peng, H.; Liu, J.; Medema, M. H.; Xu, Q."
2026-04-20,17,10.64898/2026.04.16.719099,1,biophysics,Nonlinear Dynamics of Left Ventricular Mass Remodeling in Chagas Cardiomyopathy,"Benchimol-Barbosa, P. R.; Loayza-Benchimol-Barbosa, A. C.; Carvalhaes, C. G.; Kantharia, B. K."
2026-04-20,17,10.64898/2026.04.15.718765,1,pharmacology and toxicology,Glucose and fructose differently mediate alcohol cocktail drinking in female and male rats: interaction of glucose and alcohol on post-ingestive behavior,"Kuebler, I. R. K.; Zimmerman, G.; Ng, S. Q.; Schneider, H. M.; Sextro, K.; Denning, A.; Mattes, B.; Matuszeski, M.; Suarez, M.; Wakabayashi, K. T."
2026-04-20,17,10.64898/2026.04.15.718735,1,bioinformatics,KIR*BLOOM: Accurate KIR genotyping using a new copy number-aware integrated genotype likelihood framework,"Gohar, Y.; Garcia, A. D.; Kichula, K. M.; Norman, P. J.; Dilthey, A. T."
2026-04-20,17,10.64898/2026.04.15.718674,1,pharmacology and toxicology,Towards Bayesian-based quantitative adverse outcome pathways using in vitro data from open literature and continuous variables: a case example for liver fibrosis.,"Durnik, R.; Juchelkova, T.; Hecht, H.; Winkelman, L. M. T.; Beltman, J. B.; Comoul, X.; Jornod, F.; Audouze, K.; Blaha, L.; Bajard, L."
2026-04-20,17,10.64898/2026.04.19.719434,1,synthetic biology,Selective Hydrolytic Defluorination of Branched Perfluorooctanoic Acid Isomers by a Haloacid Dehalogenase,"Hu, M.; Bhardwaj, S.; Newton, S.; Caputo, A. T.; Manefield, M. J.; Scott, C."
2026-04-20,17,10.64898/2026.04.19.719495,1,microbiology,Discovery and characterisation of OMVs produced by the bee gut microbiota,"Eyles, R. P.; Kwong, W. K."
2026-04-20,17,10.64898/2026.04.19.719497,1,microbiology,Endophytic fungi from avocado trees exhibit potential for multi-target biocontrol applications,"Sanchez-Hernandez, D.; Ibarra-Juarez, L. A.; Larsen, J.; Reverchon, F."
2026-04-20,17,10.64898/2026.04.16.718976,1,genomics,GenePT Revisited: Do Better Text Embeddings Make Better Gene Embeddings?,"Hedley, J. G.; Torr, P. H. S.; Märtens, K."
2026-04-20,17,10.64898/2026.01.06.698042,3,biochemistry,AlphaFold3 predictions of novel GLI-SUFU interfaces identify binding-defective SUFU missense variants from medulloblastoma and Gorlin Syndrome patients,"Bardwell, A. J.; Arif, U.; Muhammad, F.; Salinas Auris, C. N.; Bardwell, L."
2026-04-20,17,10.64898/2026.04.16.718887,1,bioinformatics,How Mitochondria Distribute and Align in HeLa Cells: A Computational Analysis On Electron Microscopy Images.,"Brito Pacheco, D.; Giannopoulos, P.; Reyes-Aldasoro, C. C."
2026-04-20,17,10.64898/2026.04.16.718707,1,bioinformatics,Full-Length Molecular Models of Brain-Derived α-Synuclein Fibrils Reveal a Fuzzy-Coat-Mediated Mechanism for Selective Peptide Binding,"Pintado-Grima, C.; Barcenas, O.; Tesei, G.; Thomasen, F. E.; Lindorff-Larsen, K.; Ventura, S."
2026-04-20,17,10.64898/2026.04.16.718468,1,bioinformatics,"diagFDR: Verifiable False Discovery Rate Reporting in Proteomics via Scope, Calibration, and Stability Diagnostics","Chion, M.; Godmer, A.; Douche, T.; Matondo, M.; Giai Gianetto, Q."
2026-04-20,17,10.1101/2025.11.05.686895,2,bioinformatics,Uncertainty-Aware Deep Learning for Multi-Metric and Dose-Specific Prediction of Drug Synergy,"Heydari, M. J.; Lye, B.; Masouri, P.; Marsland, T.; Pamulapati, K.; Vary, R.; Allen, H.; Simpson, K. J.; Lock, J. G.; McKenna, J.; Vafaee, F."
2026-04-20,17,10.1101/2022.04.19.488738,2,bioinformatics,fastman: A Fast Algorithm for Visualising GWAS Results Using Manhattan and Q-Q Plots in R,"Paria, S. S.; Rahman, S. R.; Adhikari, K."
2026-04-20,17,10.64898/2026.04.17.719300,2,biophysics,Mechanism of HIV-1 Capsid Rupture and Uncoating by Reverse Transcription,"Ghosh, K.; Gupta, M.; Voth, G. A."
2026-04-20,17,10.64898/2026.04.16.718662,1,biophysics,cryoAgent: An agentic workflow for robust and adaptive end-to-end cryo-EM image processing,"Li, D.; Yang, S.; Xiao, Q.; Niu, T.; Zhang, Y.; Zhu, Y.; Sun, F."
2026-04-21,17,10.64898/2026.04.16.718958,1,bioinformatics,Reveal Principles of Codon Optimization via Machine Learning,"Deng, F.; Li, H.; Sun, D.; Duan, G.; Sun, Z.; Xue, G."
2026-04-21,17,10.64898/2026.04.17.719159,1,bioinformatics,Consensus Through Diversity: A Comprehensive Benchmark of Multi-Omic Approaches for Precision Breast Oncology,"Sionakidis, A.; Pinilla Alba, K.; Abraham, J.; Simidjievski, N."
2026-04-21,17,10.64898/2026.04.16.718947,1,bioinformatics,CRISP enables comparisons of image-based spatial transcriptomicsegmentation quality across ten organs,"Rose, J. R.; Rose, E. S.; Assumpcao, J. A. F.; Pathak, H.; Peck, H. E.; Sasser, L. E.; Patel, C. J.; Vanover, D.; Santangelo, P. J."
2026-04-21,17,10.1101/2025.11.20.689422,3,bioinformatics,XAMP: debiased dual-engine AI framework enables global discovery of antimicrobial peptides from deep-sea microbiomes,"Chen, B.; Mou, X.; Song, Z.; Lin, H.; Han, T.; Wang, R.; Ou, H.-Y.; Zhang, Y.; Li, J."
2026-04-21,17,10.64898/2026.04.17.719187,1,biophysics,In silico model of neuronal pathfinding during spinal cord regeneration in zebrafish larvae,"Neumann, O. F.; Kravikass, M.; John, N.; Ramachandran, R. G.; Steinmann, P.; Zaburdaev, V.; Wehner, D.; Budday, S."
2026-04-21,17,10.64898/2026.04.16.719046,1,genomics,A Seychelles warbler genomic toolkit,"Lee, K. G. L.; Bartleet-Cross, C.; Gonzalez-Mollinedo, S.; Dong, S.; Pinto, A.; Lee, C. Z.; Sparks, A.; van de Velde, M.; Manarelli, M.-E.; Holden, T.; Tucker, R.; Maher, K. H.; Hipperson, H.; Slate, J.; Komdeur, J.; Richardson, D.; Dugdale, H.; Burke, T."
2026-04-21,17,10.64898/2026.04.17.719154,1,genomics,"Closely related, yet phenotypically different - Genome assemblies of two sister species of widow spiders: Latrodectus hasselti and L. katipo, Theridiidae","Ivanov, V.; Uludag, K. O.; Schöneberg, Y.; Schneider, J. M.; Kennedy, S.; Hamadou, A. B.; Vink, C. J.; Krehenwinkel, H."
2026-04-21,17,10.64898/2026.04.16.719076,1,genomics,Genomic diversification underlies the broad ecological range of Salmonella enterica serotype Typhimurium,"Ohri, L.; Chinnareddy, S.; Goh, Y.-X.; Zhang, H.; Deng, X.; Pruden, A.; Cheng, R.; Li, S.; Liao, J."
2026-04-21,17,10.64898/2026.04.16.719068,1,biochemistry,Self-Interaction Nanoparticle Spectroscopy Predicts High-Concentration Viscosity of Therapeutic IgG1 Antibodies,"Paidi, S. K.; Ibrahim, J.; Stepurska, K.; Zarzar, J.; Izadi, S.; Rude, E.; Luu, S.; Kovner, D.; O'Connor, K.; Bol, K.; Mehta, S.; Andersen, N.; Stephens, N.; Makowski, E.; Heisler, J.; Swartz, T.; Carter, P. J.; Baginski, T."
2026-04-21,17,10.64898/2026.04.16.719024,1,biochemistry,PARP1 regulates the genomic ribonucleotide processing activity of TOP1 to prevent the formation of toxic TOP1-DNA adducts and the associated mutations.,"Sarrain, E. J.; Wang, Q.; Bondoy, A. C.; Guo, F.; Cao, Q.; Niu, H."
2026-04-21,17,10.64898/2026.04.17.713973,1,bioengineering,Modular fluidic automation platform with integrated thermal control for multi-step molecular imaging workflows,"Banerjee, T. D.; Raine, J.; Mathuru, A.; Monteiro, A."
2026-04-21,17,10.64898/2026.04.16.719034,1,bioengineering,Identification and Optimization of Kratom Strictosidine Pathway Enabled by Yeast Multiplex Engineering,"Wu, Y.; Han, D. O.; Gong, F. L.; Li, S."
2026-04-21,17,10.64898/2026.04.17.719323,1,bioengineering,Noncoaxial Transcatheter Aortic Valve Deployment Creates Cusp-Specific Thrombogenic Microenvironments Through Altered Sinus Hemodynamics,"Natarajan, T.; Kim, J. H.; Salgado, C. D.; Jha, A.; Baker, C.; Sellers, S. L.; Aslan, J. E.; Hinds, M. T.; Yoganathan, A. P.; Dasi, L. P."
2026-04-21,17,10.64898/2026.04.17.719294,1,bioengineering,Effects of MRI on an Injectable Hydrogel with Magnetically Alignable Microstructures for Oriented Cell Growth,"Oloumi Yazdi, Y.; Bennet, T. J.; Yung, A.; Bale, K.; Pieters, A.; Liubchak, I.; Meyer, A. A.; Caffrey, T. M.; Reinsberg, S.; De Laporte, L.; Madden, J. D. W.; Cheung, K. C."
2026-04-21,17,10.64898/2026.04.16.719110,1,bioengineering,Running Style and Stability During Uphill Running Are Largely Preserved with Increasing Shoe Sole Thickness,"Kettner, C.; Stetter, B. J.; Stein, T."
2026-04-21,17,10.64898/2026.04.17.719243,1,bioinformatics,Bi-level diversity optimisation for representative protein panel selection,"Ou, Z.; James, K.; Charnock, S.; Wipat, A."
2026-04-21,17,10.64898/2026.04.17.719314,1,bioinformatics,Benchmarking single-cell foundation models for real-world RNA-seq data integration,"Han, S.; Sztanka-Toth, T.; Senel, E.; Elnaggar, A.; Patel, J.; Mansi, T.; Smirnov, D.; Greshock, J.; Javidi, A."
2026-04-21,17,10.64898/2026.04.17.719146,1,bioinformatics,Automated landmark and semilandmark annotation for wing geometric morphometrics in Diptera using deep learning,"Nolte, K.; Baumbach, J.; Kollmannsberger, P.; Sauer, F. G.; Luehken, R."
2026-04-21,17,10.64898/2026.04.17.719309,1,bioinformatics,Dissecting the coordinated progression of cell states in spatial transcriptomics with CoPro,"Miao, Z.; Qu, Y.; Huang, S.; Laux, L.; Peters, S.; Aristel, A.; Zhang, Z.; Niedernhofer, L. J.; McMahon, A.; Kim, J.; Zhang, N."
2026-04-21,17,10.64898/2026.04.17.719144,1,bioinformatics,Large-scale analysis of ligand binding mode similarities in the PDB using interaction fingerprints,"Kunnakkattu, I. R.; Choudhary, P.; Midlik, A.; Fleming, J. R.; Balasubramaniyan, B.; Sasidharan Nair, S.; Velankar, S."
2026-04-21,17,10.64898/2026.04.21.719784,1,microbiology,Rat hepatitis E virus and novel paramyxoviruses in synanthropic rodents and shrews in Kenya,"Ochola, G.; Pulkkinen, E.; Ogola, J. G.; Makela, H.; Masika, M.; Vauhkonen, H.; Smura, T.; Jaaskelainen, A. J.; Anzala, O.; Vapalahti, O.; Mweu, A. W.; Forbes, K. M.; Lindahl, J. F.; Laakkonen, J.; Uusitalo, J.; Altan, E.; Korhonen, E. M.; Sironen, T."
